vehicle_id,speed,travel_time,waiting_time,distance
diag.17,7.3151,107.0000,1.0000,782.7200
diag.18,7.3151,107.0000,0.0000,782.7200
anti.24,8.3268,94.0000,0.0000,782.7200
anti.25,8.4163,93.0000,0.0000,782.7200
vert.14,6.6754,57.0000,0.0000,380.5000
diag.19,7.1156,110.0000,0.0000,782.7200
anti.26,8.2392,95.0000,0.0000,782.7200
anti.27,8.3268,94.0000,0.0000,782.7200
diag.20,7.1156,110.0000,0.0000,782.7200
diag.21,7.1156,110.0000,0.0000,782.7200
anti.28,8.2392,95.0000,0.0000,782.7200
diag.22,7.1156,110.0000,0.0000,782.7200
anti.29,8.2392,95.0000,0.0000,782.7200
diag.23,7.1156,110.0000,0.0000,782.7200
anti.30,8.0693,97.0000,0.0000,782.7200
anti.31,8.0693,97.0000,0.0000,782.7200
diag.24,6.8660,114.0000,0.0000,782.7200
diag.25,6.8660,114.0000,0.0000,782.7200
diag.26,6.8660,114.0000,0.0000,782.7200
anti.32,7.7497,101.0000,0.0000,782.7200
anti.33,7.8272,100.0000,0.0000,782.7200
diag.27,6.6899,117.0000,0.0000,782.7200
anti.34,7.9063,99.0000,0.0000,782.7200
diag.28,6.7476,116.0000,1.0000,782.7200
anti.35,7.9063,99.0000,0.0000,782.7200
anti.36,8.0693,97.0000,0.0000,782.7200
anti.37,8.1533,96.0000,0.0000,782.7200
diag.29,6.7476,116.0000,0.0000,782.7200
diag.30,6.7476,116.0000,0.0000,782.7200
cross.2,2.1994,173.0000,124.0000,380.5000
anti.38,8.1533,96.0000,0.0000,782.7200
diag.31,6.7476,116.0000,0.0000,782.7200
anti.39,8.3268,94.0000,0.0000,782.7200
diag.32,6.7476,116.0000,0.0000,782.7200
anti.40,8.3268,94.0000,0.0000,782.7200
diag.33,6.9267,113.0000,0.0000,782.7200
anti.41,8.2392,95.0000,0.0000,782.7200
anti.42,8.2392,95.0000,0.0000,782.7200
diag.34,6.6899,117.0000,0.0000,782.7200
anti.43,8.5078,92.0000,0.0000,782.7200
diag.35,6.6332,118.0000,0.0000,782.7200
anti.44,8.2392,95.0000,0.0000,782.7200
anti.45,8.2392,95.0000,0.0000,782.7200
diag.36,6.5227,120.0000,0.0000,782.7200
anti.46,8.3268,94.0000,0.0000,782.7200
diag.37,6.6332,118.0000,2.0000,782.7200
anti.47,8.2392,95.0000,0.0000,782.7200
diag.38,6.5775,119.0000,0.0000,782.7200
anti.48,8.4163,93.0000,0.0000,782.7200
anti.49,8.4163,93.0000,0.0000,782.7200
anti.50,8.5078,92.0000,0.0000,782.7200
anti.51,8.4163,93.0000,0.0000,782.7200
diag.39,6.3636,123.0000,0.0000,782.7200
diag.40,6.4157,122.0000,0.0000,782.7200
anti.52,8.5078,92.0000,0.0000,782.7200
diag.41,6.5775,119.0000,0.0000,782.7200
anti.53,8.3268,94.0000,0.0000,782.7200
diag.42,6.5227,120.0000,0.0000,782.7200
anti.54,8.5078,92.0000,0.0000,782.7200
diag.43,6.5227,120.0000,0.0000,782.7200
anti.55,8.5078,92.0000,0.0000,782.7200
diag.44,6.5227,120.0000,0.0000,782.7200
anti.56,8.4163,93.0000,0.0000,782.7200
diag.45,6.3123,124.0000,0.0000,782.7200
anti.57,8.3268,94.0000,0.0000,782.7200
diag.46,6.4157,122.0000,0.0000,782.7200
anti.58,8.4163,93.0000,0.0000,782.7200
anti.59,8.4163,93.0000,0.0000,782.7200
diag.47,6.4157,122.0000,0.0000,782.7200
diag.48,6.4157,122.0000,0.0000,782.7200
anti.60,8.4163,93.0000,0.0000,782.7200
diag.49,6.4157,122.0000,0.0000,782.7200
anti.61,8.5078,92.0000,0.0000,782.7200
diag.50,6.4688,121.0000,0.0000,782.7200
anti.62,8.5078,92.0000,0.0000,782.7200
anti.63,8.5078,92.0000,0.0000,782.7200
diag.51,6.3636,123.0000,0.0000,782.7200
anti.64,8.4163,93.0000,0.0000,782.7200
anti.65,8.6013,91.0000,0.0000,782.7200
diag.52,6.0676,129.0000,0.0000,782.7200
anti.66,8.5078,92.0000,0.0000,782.7200
diag.53,6.1150,128.0000,0.0000,782.7200
anti.67,8.4163,93.0000,0.0000,782.7200
diag.54,6.1150,128.0000,0.0000,782.7200
anti.68,8.4163,93.0000,0.0000,782.7200
diag.55,6.2121,126.0000,0.0000,782.7200
anti.69,8.4163,93.0000,0.0000,782.7200
anti.70,8.6013,91.0000,0.0000,782.7200
diag.56,6.0676,129.0000,0.0000,782.7200
diag.57,6.1150,128.0000,0.0000,782.7200
cross.3,1.5040,253.0000,197.0000,380.5000
diag.58,6.1150,128.0000,0.0000,782.7200
diag.59,6.3123,124.0000,0.0000,782.7200
diag.60,6.2618,125.0000,0.0000,782.7200
anti.71,8.0693,97.0000,0.0000,782.7200
diag.61,6.3636,123.0000,0.0000,782.7200
anti.72,8.1533,96.0000,0.0000,782.7200
